,data,dims,manifold,run_id,distortion,mAP,timestamp
0,0,2,poincare,1,40.8238096434051,20.411821854146467,20210723112840
0,0,2,poincare,1,39.561670810881886,19.300226704069473,20210723125609
0,0,2,poincare,1,26.37686118658142,48.29126935001595,20210723131009
0,0,10,poincare,1,38.438458800927265,51.83514532584053,20210723131818
0,0,10,lorentz,1,28.750421172698882,77.04662871573092,20210723132316
0,0,2,poincare,1,40.68829451271112,19.23452131292022,20210723132542
0,0,2,poincare,1,43.45602621767406,15.411313672907653,20210723135521
0,0,2,poincare,1,15.213713707289452,22.454009000510183,20210723144042
0,0,2,poincare,2,13.110140648358467,22.17868246068435,20210723150043
0,0,2,poincare,3,7.781169839088017,57.06526107048947,20210723151904
0,0,2,poincare,4,5.912835264912617,58.38992699752193,20210723153721
